timestep	hpmc_d	lx	hpmc_boxmc_betaP	hpmc_overlap_count
0	0.05	24	1	0
2000	0.068138228	23.99448142	1.09	0
4000	0.09282509198	23.8614959	1.18	0
6000	0.1264213198	23.68273214	1.27	0
8000	0.1721134471	23.20055031	1.36	0
10000	0.2341986202	22.09521073	1.45	0
12000	0.3184451139	20.4631042	1.54	0
14000	0.432466147	17.41807528	1.63	0
16000	0.5850873637	12.37462302	1.72	0
18000	0.7855348362	11.75804802	1.81	0
20000	1	11.67915828	1.9	0
22000	1	11.63321772	1.99	0
24000	1	11.97741702	2.08	0
26000	1	11.27774948	2.17	0
28000	1	11.30516764	2.26	0
30000	1	11.03255341	2.35	0
32000	1	11.40699076	2.44	0
34000	1	11.5999061	2.53	0
36000	1	11.07773742	2.62	0
38000	1	11.0343349	2.71	0
40000	1	10.82475186	2.8	0
42000	1	10.93342303	2.89	0
44000	1	10.98996272	2.98	0
46000	1	10.80798797	3.07	0
48000	1	10.87742736	3.16	0
50000	1	10.73027073	3.25	0
52000	1	10.45263898	3.34	0
54000	1	10.81725485	3.43	0
56000	1	10.77469189	3.52	0
58000	1	10.75428828	3.61	0
60000	1	10.36894817	3.7	0
62000	1	10.50736767	3.79	0
64000	1	10.56089373	3.88	0
66000	1	10.64017471	3.97	0
68000	1	10.74725805	4.06	0
70000	1	10.51312379	4.15	0
72000	1	10.33248028	4.24	0
74000	1	10.37120395	4.33	0
76000	1	10.38630695	4.42	0
78000	1	10.37482954	4.51	0
80000	1	10.1842496	4.6	0
82000	1	10.30630445	4.69	0
84000	1	10.18018393	4.78	0
86000	1	10.18466375	4.87	0
88000	1	10.40056428	4.96	0
90000	1	10.03936076	5.05	0
92000	1	10.25628591	5.14	0
94000	1	10.33330416	5.23	0
96000	1	10.07832885	5.32	0
98000	1	10.02973082	5.41	0
100000	1	10.26219081	5.5	0
102000	1	10.08051301	5.59	0
104000	1	9.928933679	5.68	0
106000	0.9946006857	10.05645189	5.77	0
108000	0.9837884538	10.08602647	5.86	0
110000	0.9676619158	9.859549941	5.95	0
112000	0.9465782797	9.976302277	6.04	0
114000	0.9208351286	9.911386223	6.13	0
116000	0.8910560641	10.16759272	6.22	0
118000	0.8577541638	10.01961199	6.31	0
120000	0.8214163391	9.950768425	6.4	0
122000	0.7826759028	9.984377771	6.49	0
124000	0.7421779128	10.1021861	6.58	0
126000	0.700634944	9.995192878	6.67	0
128000	0.6583370125	9.88357564	6.76	0
130000	0.6158789569	9.953842816	6.85	0
132000	0.5737555098	9.919181816	6.94	0
134000	0.5324193632	9.895763895	7.03	0
136000	0.4923239635	9.922703241	7.12	0
138000	0.4537311864	9.864327906	7.21	0
140000	0.4169729921	9.926727366	7.3	0
142000	0.3823134749	9.856306295	7.39	0
144000	0.3499051393	9.75878821	7.48	0
146000	0.3197895508	9.90976637	7.57	0
148000	0.2921013317	9.798692954	7.66	0
150000	0.2666764343	9.840825864	7.75	0
152000	0.2436240172	9.79499454	7.84	0
154000	0.2225467811	9.618520664	7.93	0
156000	0.2033796272	9.613212476	8.02	0
158000	0.1862317026	9.779238057	8.11	0
160000	0.1709181312	9.51002234	8.2	0
162000	0.1573264579	9.619284311	8.29	0
164000	0.1454051546	9.76420788	8.38	0
166000	0.134982376	9.646350962	8.47	0
168000	0.1259225748	9.728465129	8.56	0
170000	0.1181560139	9.793447686	8.65	0
172000	0.1115141938	9.69986458	8.74	0
174000	0.1058570515	9.66486867	8.83	0
176000	0.1010462257	9.577744498	8.92	0
178000	0.09690375122	9.596537167	9.01	0
180000	0.09346653455	9.606077403	9.1	0
182000	0.09070493285	9.631810266	9.19	0
184000	0.08848867635	9.664247926	9.28	0
186000	0.08681423621	9.632891638	9.37	0
188000	0.08564303256	9.642952394	9.46	0
190000	0.08490526891	9.53941328	9.55	0
192000	0.08454653814	9.573288955	9.64	0
194000	0.08456613782	9.516326314	9.73	0
196000	0.08494397556	9.596160259	9.82	0
198000	0.08566966651	9.486936059	9.91	0
