timestep	hpmc_d	lx	hpmc_boxmc_betaP	hpmc_overlap_count
0	0.05	24	1	0
2000	0.06812706509	23.8248371	1.09	0
4000	0.09279808622	23.71691823	1.18	0
6000	0.1263733021	23.45328366	1.27	0
8000	0.1720173083	22.71924601	1.36	0
10000	0.234029552	21.53928291	1.45	0
12000	0.3181277226	19.56433953	1.54	0
14000	0.4317295611	16.23311121	1.63	0
16000	0.5830736009	12.54079663	1.72	0
18000	0.7813686365	11.75802176	1.81	0
20000	1	11.89106105	1.9	0
22000	1	11.95050851	1.99	0
24000	1	11.88332857	2.08	0
26000	1	11.7794534	2.17	0
28000	1	11.54945198	2.26	0
30000	1	11.75388126	2.35	0
32000	1	11.66586031	2.44	0
34000	1	11.38648898	2.53	0
36000	1	11.18994552	2.62	0
38000	1	11.23488332	2.71	0
40000	1	11.0759287	2.8	0
42000	1	11.15999148	2.89	0
44000	1	10.9162337	2.98	0
46000	1	11.18862611	3.07	0
48000	1	11.08874539	3.16	0
50000	1	10.97755379	3.25	0
52000	1	10.97634437	3.34	0
54000	1	10.85039641	3.43	0
56000	1	10.74777335	3.52	0
58000	1	10.74204964	3.61	0
60000	1	10.71198418	3.7	0
62000	1	10.78350358	3.79	0
64000	1	10.64654487	3.88	0
66000	1	10.95996702	3.97	0
68000	1	10.50369434	4.06	0
70000	1	10.41823462	4.15	0
72000	1	10.57204102	4.24	0
74000	1	10.42321857	4.33	0
76000	1	10.47886587	4.42	0
78000	1	10.46584749	4.51	0
80000	1	10.37894515	4.6	0
82000	1	10.3438969	4.69	0
84000	1	10.48683029	4.78	0
86000	1	10.329959	4.87	0
88000	1	10.48761742	4.96	0
90000	1	10.39078735	5.05	0
92000	1	10.20163235	5.14	0
94000	1	10.21948419	5.23	0
96000	1	10.22556637	5.32	0
98000	1	10.33416965	5.41	0
100000	1	10.12340505	5.5	0
102000	0.9964540276	10.10759083	5.59	0
104000	0.9871038701	10.2297222	5.68	0
106000	0.9723443268	10.19058219	5.77	0
108000	0.9524346142	10.23298806	5.86	0
110000	0.9277971386	10.11394452	5.95	0
112000	0.8988366684	10.29044983	6.04	0
114000	0.8662295545	10.13411181	6.13	0
116000	0.8303225258	9.987792611	6.22	0
118000	0.7917010759	9.969650501	6.31	0
120000	0.7511063599	10.03481262	6.4	0
122000	0.7089773328	9.936615233	6.49	0
124000	0.665923957	10.07350934	6.58	0
126000	0.6225415548	9.978580289	6.67	0
128000	0.5793454444	9.961527028	6.76	0
130000	0.5369243598	9.897454038	6.85	0
132000	0.4956037318	9.925466119	6.94	0
134000	0.455745659	10.03857864	7.03	0
136000	0.4178289065	9.931744546	7.12	0
138000	0.382009345	9.948406629	7.21	0
140000	0.3485575198	10.05787932	7.3	0
142000	0.3176781939	10.08600169	7.39	0
144000	0.2893159527	9.89431953	7.48	0
146000	0.2634263466	9.924531313	7.57	0
148000	0.2400212714	9.85142511	7.66	0
150000	0.2188051831	9.818796363	7.75	0
152000	0.1998237286	9.883371494	7.84	0
154000	0.1830446387	9.900576536	7.93	0
156000	0.1682100696	9.748722719	8.02	0
158000	0.1550875778	9.798269193	8.11	0
160000	0.1435649154	9.692134241	8.2	0
162000	0.1334095585	9.741519977	8.29	0
164000	0.1245540117	9.684504865	8.38	0
166000	0.116879492	9.647112401	8.47	0
168000	0.1102855981	9.601337808	8.56	0
170000	0.1045869917	9.691338564	8.65	0
172000	0.09976641479	9.810551862	8.74	0
174000	0.09571776482	9.679994394	8.83	0
176000	0.09232996199	9.777691253	8.92	0
178000	0.08962264179	9.748552249	9.01	0
180000	0.08747586166	9.631794088	9.1	0
182000	0.08583203041	9.690078971	9.19	0
184000	0.08465607961	9.686378771	9.28	0
186000	0.08389469543	9.52359391	9.37	0
188000	0.08350261714	9.522068245	9.46	0
190000	0.08349663404	9.607601898	9.55	0
192000	0.08385429786	9.560442635	9.64	0
194000	0.08455840495	9.646006417	9.73	0
196000	0.08560578473	9.553868426	9.82	0
198000	0.08698516974	9.467209722	9.91	0
