timestep	hpmc_d	lx	hpmc_boxmc_betaP	hpmc_overlap_count
0	0.05	24	1	0
2000	0.06813354086	24.01943824	1.09	0
4000	0.09281956481	23.74299657	1.18	0
6000	0.1263986134	23.83451717	1.27	0
8000	0.1720574553	23.67000807	1.36	0
10000	0.2341184685	22.68533843	1.45	0
12000	0.3183555324	21.02263775	1.54	0
14000	0.4323626458	17.81529951	1.63	0
16000	0.5851872444	12.69704332	1.72	0
18000	0.7861758148	12.03341337	1.81	0
20000	1	11.42974566	1.9	0
22000	1	11.62459867	1.99	0
24000	1	11.65697987	2.08	0
26000	1	11.77814887	2.17	0
28000	1	11.62599484	2.26	0
30000	1	11.42736259	2.35	0
32000	1	11.36759678	2.44	0
34000	1	11.33082758	2.53	0
36000	1	11.09588596	2.62	0
38000	1	11.2813299	2.71	0
40000	1	10.98364017	2.8	0
42000	1	10.90334356	2.89	0
44000	1	11.0686525	2.98	0
46000	1	11.00145819	3.07	0
48000	1	11.21284107	3.16	0
50000	1	10.89870211	3.25	0
52000	1	10.63908655	3.34	0
54000	1	10.93026712	3.43	0
56000	1	10.80635226	3.52	0
58000	1	10.58663328	3.61	0
60000	1	10.41261181	3.7	0
62000	1	10.55972133	3.79	0
64000	1	10.73836332	3.88	0
66000	1	10.5780841	3.97	0
68000	1	10.36989329	4.06	0
70000	1	10.36954375	4.15	0
72000	1	10.38439056	4.24	0
74000	1	10.44702103	4.33	0
76000	1	10.36648533	4.42	0
78000	1	10.54295589	4.51	0
80000	1	10.28349206	4.6	0
82000	1	10.50576676	4.69	0
84000	1	10.13655237	4.78	0
86000	1	10.38240644	4.87	0
88000	1	10.21174014	4.96	0
90000	1	10.15285851	5.05	0
92000	1	10.19115073	5.14	0
94000	1	10.22789036	5.23	0
96000	1	10.03373738	5.32	0
98000	1	10.01025601	5.41	0
100000	1	10.13317065	5.5	0
102000	1	10.15876494	5.59	0
104000	1	10.13147717	5.68	0
106000	0.9970231365	10.10144533	5.77	0
108000	0.9885476562	10.10405828	5.86	0
110000	0.9746825951	9.951817228	5.95	0
112000	0.9557654061	10.03090874	6.04	0
114000	0.9322742691	10.18611561	6.13	0
116000	0.9046159595	9.947695145	6.22	0
118000	0.8732244345	10.06478378	6.31	0
120000	0.838593538	9.979387582	6.4	0
122000	0.8013692653	10.10296296	6.49	0
124000	0.7620794715	10.00708908	6.58	0
126000	0.7213041029	9.965083919	6.67	0
128000	0.6796510516	10.05653297	6.76	0
130000	0.6376218607	9.954201616	6.85	0
132000	0.5956510272	10.05291755	6.94	0
134000	0.5542214817	9.829238088	7.03	0
136000	0.5135776098	9.770880765	7.12	0
138000	0.4742774759	9.875415469	7.21	0
140000	0.4366375778	9.870762248	7.3	0
142000	0.4009131765	9.80038466	7.39	0
144000	0.3672696499	9.678119116	7.48	0
146000	0.3357305361	9.702780891	7.57	0
148000	0.3064345956	9.75656846	7.66	0
150000	0.2794880485	9.625153045	7.75	0
152000	0.254797993	9.643448399	7.84	0
154000	0.2324951705	9.701148958	7.93	0
156000	0.2123127695	9.495264265	8.02	0
158000	0.1942122017	9.72635892	8.11	0
160000	0.1781393646	9.619776985	8.2	0
162000	0.163893345	9.623060723	8.29	0
164000	0.1512533294	9.425870506	8.38	0
166000	0.1401810311	9.560700503	8.47	0
168000	0.1305130261	9.556501632	8.56	0
170000	0.1220664714	9.490344997	8.65	0
172000	0.114797678	9.769617691	8.74	0
174000	0.1086001176	9.660359799	8.83	0
176000	0.1033535542	9.632537423	8.92	0
178000	0.09895119357	9.675749844	9.01	0
180000	0.09529048051	9.509449124	9.1	0
182000	0.09226990137	9.446025735	9.19	0
184000	0.08982784247	9.374669145	9.28	0
186000	0.08787995788	9.301975205	9.37	0
188000	0.08644257917	9.399083016	9.46	0
190000	0.0854458626	9.420191813	9.55	0
192000	0.0848593655	9.4789681	9.64	0
194000	0.08466027528	9.535408083	9.73	0
196000	0.08488023074	9.386809473	9.82	0
198000	0.08545595728	9.249195584	9.91	0
